abbreviation	name	language	source	identifier	emotions	available	num_emo	contains_all_basic	comments	stimulus_type	fully_crossed_design	different_emo_intensity	has_semantic_meaning	num_speakers	subjects	num_utterances	modality	total_files	validation_available	num_raters	reference	URL	Year	IDX	Selection	Reason	Accessable	Access granted
Lego	Lego	German	juslin2017	Kehrein2002	Activation, Dominance, Valence	https://www.ultes.eu/ressources/lego-spoken-dialogue-corpus/	3	FALSE	-						Native		audio				Kehrein, 2002	-	2002	34	DISCARDED	Wrong language	-	-
Nimitek	Nimitek	German	juslin2017	DOI:10.1109/T-AFFC.2010.14	anger, Nervous, sad, joy, Contentment, boredom, fear, disgust, Interest, Surprise, Insecure, Disappointment, Impatient, Confused, Accepting, Pleasure, Stressed, Commanding		22	TRUE		Sentences					Native		audio				Gnjatovic, Rösner, 2010	-	2010	35	DISCARDED	Wrong language	-	-
SU Voices	Portrayals of 13 emotions	Swedish	juslin2017	DOI:10.1121/1.5108601	anger, Contempt, disgust, fear, Happiness, Interest, Lust, Pride, Relief, sad, Serenity, Shame, Tenderness		13	FALSE	One single sentence	Sentences		TRUE	-	14	Actor	-	audio	364		-	Nordström, Laukka, 2017	-	2017	30	DISCARDED	Wrong language	ON REQUEST	ON REQUEST
SSPNet Conflict	Recordings from televised political debates	French	juslin2017	DOI:10.1109/TAFFC.2014.2324564	Various		0	FALSE	Recordings from televised political debates	Sentences			TRUE			-	audio	1430	TRUE	-	Kim, 2014	-	2014	36	DISCARDED	Wrong language	-	-
TIVAC	Recordings of emotional speech from various sources available online	English, Swedish	juslin2017	JuslinLaukka2017	Various		0	FALSE	-				-			-	audio			-	Juslin, Laukka, 2017	-	2017	37	REQUEST	-	-	-
Emovox	Recordings of participants engaging in acting tasks and various emotion inducing lab tasks. Annotated by emotional selfratings	German, English, French	juslin2017	DOI:10.1016/j.csl.2011.11.003	Happiness, sad		2	FALSE	-				-		TRUE	14000	audio			-	Scherer 2013	https://www.sciencedirect.com/science/article/pii/S0885230811000647?_rdoc=1&_fmt=high&_origin=gateway&_docanchor=&md5=b8429449ccfc9c30159a5f9aeaa92ffb#!	2013	41	REQUEST	-	-	-
SEMAINE	SEMAINE (Belfast)	English	juslin2017	DOI:10.1109/T-AFFC.2011.20	Arousal, Valence		2	FALSE	-				-				audio+video				McKeown, 2012	https://semaine-db.eu	2012	15	REQUEST	-	ON REQUEST	ON REQUEST
SAVEE	Surrey Audio-Visual Expressed Emotion	English	juslin2017	DOI:10.4018/978-1-61520-919-4	anger, disgust, fear, Happiness, sad, Surprise		6	TRUE	Sentences from TIMIT corpus	Sentences				4	Actor		audio+video	480			Haq, Jackson, 2009	http://kahlan.eps.surrey.ac.uk/savee/	2009	21	REQUEST	-	ON REQUEST	ON REQUEST
VAM	Vera-Am-Mittag: audio spontaneous speech database	German	juslin2017	DOI:10.1109/ICME.2008.4607572	Arousal, Dominance, Valence		3	FALSE	The AAAC removed the file								audio+video				Grimm, 2008	http://emotion-research.net/download/vam	2008	20	DISCARDED	Wrong language	NO	NO
E-Wiz	Wizard-of-Oz	French	juslin2017	Aubergé2004	anger, fear, joy		3	FALSE	Color words	Sentence+utterances		FALSE	-	6	Mixed	-	audio			-	Aubergé, 2004	-	2004	33	DISCARDED	Wrong language	-	-
Clinical interviews	Clinical interviews	French	juslin2017	DOI:10.1024/1421-0185/a000062	Enjoyment, Hostility, Embarrassment, Surprise, sad		5	FALSE	-				-			-	audio+video	200		-	With, Kaiser, 2011	-	2011	39	DISCARDED	Wrong language	-	-
Voice provider	Recordings from call centre	Swedish	juslin2017	Neiberg2006	Emphatic, negative		2	FALSE	-				-			-	audio			-	Neiberg, 2006	-	2006	40	DISCARDED	Wrong language	-	-
TNO Gaming	TNO Gaming	Dutch	juslin2017	DOI:10.1016/j.specom.2012.04.006	Arousal, Valence		2	FALSE	-				-		gamer	-	audio			-	Truong, 2012	-	2012	38	DISCARDED	Wrong language	-	-
